# Time-averaged data for fix totalE
# TimeStep v_Temp v_Etotal v_Enth
2005000 373.641 -3708.18 -3709.45
2010000 374.213 -3706.27 -3705.64
2015000 373.696 -3707.78 -3706.75
2020000 373.617 -3708.92 -3706.62
2025000 373.155 -3707.89 -3708.1
2030000 374.638 -3703.53 -3703.09
2035000 373.716 -3707.13 -3707.94
2040000 375.106 -3702.76 -3701.52
2045000 375.303 -3703.91 -3704.49
2050000 375.285 -3701.81 -3701.9
2055000 375.929 -3699.58 -3699.18
2060000 376.48 -3699.36 -3698.21
2065000 376.412 -3700.79 -3702.63
2070000 377.138 -3697.51 -3697.53
2075000 376.986 -3698.61 -3697.87
2080000 376.442 -3700.24 -3701.3
2085000 377.47 -3696.91 -3695.57
2090000 377.401 -3697.25 -3697.68
2095000 377.778 -3696.88 -3697.51
2100000 377.558 -3697.02 -3696.52
2105000 377.748 -3696.11 -3696.67
2110000 378.786 -3693.8 -3694.51
2115000 379.086 -3693.72 -3694.84
2120000 378.207 -3695.95 -3697.36
2125000 378.517 -3694.85 -3696.48
2130000 379.936 -3692.38 -3692.57
2135000 379.594 -3691.79 -3693.62
2140000 379.596 -3691.68 -3690.2
2145000 380.118 -3690.43 -3691.83
2150000 379.293 -3691.78 -3692.3
2155000 381.03 -3689.22 -3688.6
2160000 381.839 -3687.02 -3685.3
2165000 381.295 -3687.49 -3687.69
2170000 381.494 -3688.77 -3687.14
2175000 382.368 -3683.98 -3685.49
2180000 382.482 -3685.72 -3684.22
2185000 381.684 -3687.27 -3687.08
2190000 382.143 -3686.66 -3685.62
2195000 382.863 -3685.01 -3683.59
2200000 382.465 -3684.79 -3685
2205000 383.67 -3682.98 -3683.91
2210000 383.473 -3682.36 -3683.63
2215000 383.527 -3683.19 -3683.42
2220000 383.691 -3683.37 -3682.81
2225000 384.731 -3680.42 -3680.9
2230000 385.077 -3678.44 -3678.12
2235000 384.242 -3680.18 -3680.18
2240000 385.655 -3677.96 -3680.05
2245000 385.958 -3678 -3679.17
2250000 384.802 -3679.4 -3679.29
2255000 385.263 -3679.22 -3681.3
2260000 386.789 -3673.83 -3672.71
2265000 385.92 -3676.05 -3677.07
2270000 386.168 -3674.98 -3673.77
2275000 386.993 -3674.18 -3674.77
2280000 386.255 -3676.25 -3677.06
2285000 387.107 -3673.6 -3673.55
2290000 387.246 -3674.38 -3674.13
2295000 387.561 -3673.16 -3673.56
2300000 387.378 -3673 -3673.09
2305000 388.76 -3671.7 -3672.12
2310000 388.815 -3671.32 -3672.11
2315000 388.479 -3673.71 -3672.93
2320000 388.587 -3671.35 -3672.34
2325000 388.947 -3671.36 -3671.4
2330000 389.675 -3669.04 -3668.15
2335000 390.136 -3668.01 -3667.85
2340000 389.664 -3666.98 -3665.65
2345000 390.913 -3665.6 -3666.59
2350000 390.061 -3668.38 -3667.82
2355000 390.701 -3665.47 -3664.25
