# Time-averaged data for fix totalE
# TimeStep v_Temp v_Et v_Enth
2005000 273.811 -22642.9 -22660.5
2010000 275.208 -22560.5 -22544.5
2015000 276.218 -22505.5 -22512.4
2020000 277.46 -22448.2 -22475.3
2025000 279.283 -22335.8 -22348.4
2030000 280.441 -22247.1 -22206
2035000 282.154 -22158.7 -22160
2040000 282.699 -22122.9 -22119.7
2045000 284.314 -22042.9 -22015.2
2050000 286.228 -21921.6 -21927.4
2055000 287.257 -21857.5 -21847.6
2060000 288.308 -21788.1 -21814.8
2065000 290.368 -21667.1 -21646.7
2070000 291.726 -21589.4 -21588.4
2075000 292.747 -21511.8 -21514.9
2080000 294.822 -21395.9 -21381.2
2085000 295.329 -21356.7 -21359.5
2090000 297.41 -21240 -21236.6
2095000 298.9 -21146.4 -21156.5
2100000 299.048 -21154.2 -21150.1
2105000 300.619 -21063.8 -21094.3
2110000 302.134 -20947.7 -20965.5
2115000 303.889 -20871.2 -20874.4
2120000 305.388 -20777.4 -20794.2
2125000 306.293 -20734.6 -20691.9
2130000 307.856 -20638.3 -20624.9
2135000 309.338 -20545.2 -20574.2
2140000 311.155 -20430.2 -20390.7
2145000 312.608 -20367 -20376.7
2150000 313.955 -20290.9 -20261.2
2155000 314.854 -20221.9 -20206
2160000 316.284 -20133.3 -20123.9
2165000 317.402 -20079 -20077.2
2170000 319.163 -19973.4 -19988
2175000 320.195 -19911.3 -19911.1
2180000 321.755 -19800.8 -19813.9
2185000 323.033 -19710.7 -19734.8
2190000 324.537 -19641.4 -19614.5
2195000 325.398 -19548.2 -19527.8
2200000 327.131 -19418.7 -19412.5
2205000 328.863 -19349.3 -19365.9
2210000 330.144 -19250.5 -19258.9
2215000 331.541 -19180.1 -19201.4
2220000 332.547 -19123.9 -19118.4
2225000 334.387 -19000.8 -19014
2230000 335.601 -18954.2 -18961
2235000 336.853 -18875.9 -18865
2240000 337.891 -18816.9 -18810.3
2245000 339.418 -18710.1 -18697
2250000 341.311 -18596 -18598.7
2255000 342.753 -18507.7 -18482
2260000 344.017 -18426.4 -18402.6
2265000 345.733 -18306.4 -18320.1
2270000 346.957 -18228.6 -18209
2275000 348.035 -18154.6 -18125
2280000 349.53 -18074.6 -18087.1
2285000 350.263 -18006.4 -17967.5
2290000 352.702 -17865 -17859.4
2295000 353.497 -17828.1 -17790.2
2300000 355.244 -17761.7 -17728.6
2305000 356.085 -17688.8 -17744.1
2310000 358.088 -17576.5 -17566
2315000 359.122 -17549.5 -17521.6
2320000 360.119 -17435.9 -17478.1
2325000 361.656 -17325.1 -17336.7
2330000 363.251 -17256.2 -17231
2335000 363.765 -17223.9 -17230.7
2340000 365.524 -17139.4 -17129.1
2345000 366.944 -17077.7 -17078.7
2350000 368.86 -16935.4 -16965.8
2355000 369.333 -16900.3 -16907.9
2360000 371.936 -16785.7 -16781
2365000 373.294 -16683.8 -16718.2
2370000 374.511 -16617.6 -16620
2375000 375.066 -16587.6 -16580.6
2380000 375.977 -16523.4 -16497.4
2385000 377.849 -16440.4 -16456.4
2390000 379.518 -16325 -16329.3
2395000 381.364 -16192.2 -16220.1
2400000 381.81 -16121.2 -16152.4
2405000 383.844 -15971.9 -15960.9
2410000 384.745 -15873.1 -15888.6
2415000 386.859 -15722.2 -15738.6
2420000 388.26 -15651.2 -15612
2425000 388.49 -15649.9 -15632.6
2430000 390.494 -15496 -15489.4
2435000 391.393 -15463.4 -15470.4
2440000 393.198 -15311 -15263.4
2445000 394.137 -15281.3 -15330.6
2450000 395.839 -15203.6 -15174.1
2455000 397.43 -15079.9 -15044.9
2460000 398.259 -15001.9 -14981.6
2465000 400.074 -14916.6 -14930.9
2470000 401.81 -14779.7 -14788.5
2475000 403.135 -14752.4 -14708.4
2480000 404.355 -14658.2 -14637.8
2485000 406.273 -14463.4 -14450.7
2490000 407.53 -14398 -14448.8
2495000 408.221 -14346.1 -14310.6
2500000 410.351 -14182.7 -14155.6
2505000 411.458 -14121.6 -14140.9
2510000 411.535 -14085.2 -14151.7
