# Time-averaged data for fix totalE
# TimeStep v_Temp v_Et v_Enth
2005000 274.489 -22594.1 -22586.1
2010000 277.172 -22453.1 -22398.2
2015000 279.657 -22286.2 -22265.4
2020000 282.653 -22138.9 -22126
2025000 285.212 -21988.7 -21993
2030000 288.246 -21820.8 -21828.3
2035000 290.55 -21665 -21686.9
2040000 293.975 -21480.3 -21479.7
2045000 296.738 -21323.3 -21284.3
2050000 298.594 -21201.1 -21191.9
2055000 301.884 -21022.5 -21026
2060000 304.422 -20873.4 -20881.6
2065000 306.925 -20685.8 -20665.2
2070000 310.314 -20490.4 -20500.3
2075000 313.519 -20297.3 -20282.1
2080000 316.287 -20108.6 -20134.1
2085000 318.197 -19982.7 -19982.4
2090000 321.101 -19828.4 -19847.7
2095000 323.551 -19665.5 -19672.5
2100000 326.437 -19483.2 -19449.5
2105000 328.838 -19372.9 -19363.7
2110000 331.7 -19176.2 -19171.9
2115000 334.593 -19013.3 -18988.5
2120000 337.509 -18831.5 -18810.1
2125000 340.571 -18659.2 -18657.5
2130000 342.731 -18519 -18516.6
2135000 345.414 -18359.5 -18351
2140000 348.662 -18148.8 -18126.4
2145000 350.861 -17994 -17970.3
2150000 355.152 -17744.4 -17764.2
2155000 356.425 -17666.1 -17658.8
2160000 360.018 -17463.4 -17469.2
2165000 362.19 -17311.3 -17271.7
2170000 365.308 -17110.8 -17185.5
2175000 367.749 -16954.8 -16972.5
2180000 370.842 -16747.1 -16717.7
2185000 373.404 -16584.2 -16573.6
2190000 375.174 -16459.2 -16437.3
2195000 378.641 -16251 -16249
2200000 380.705 -16089.1 -16107.4
2205000 385.174 -15795.4 -15789.1
2210000 386.517 -15722.7 -15737.9
2215000 389.177 -15531.9 -15529.4
2220000 392.574 -15288.3 -15252.9
2225000 395.465 -15106 -15102.5
2230000 398.339 -14936.6 -14938.8
2235000 400.723 -14824.2 -14864.6
2240000 402.874 -14646.2 -14672.7
2245000 405.97 -14517.5 -14520.7
2250000 408.723 -14316 -14287.7
2255000 411.666 -14123 -14142
2260000 414.656 -13899.6 -13867.5
2265000 417.473 -13755.8 -13757.5
2270000 420.243 -13565.5 -13568.7
2275000 422.905 -13358.2 -13345.6
2280000 425.743 -13180.3 -13181.5
2285000 428.471 -12917.9 -12938.3
2290000 431.003 -12793.2 -12763.7
2295000 433.919 -12563.5 -12516.6
2300000 436.986 -12301.8 -12298.5
2305000 439.154 -12168.7 -12152.3
2310000 441.972 -11943.7 -11925
2315000 444.78 -11794 -11846.3
2320000 447.382 -11677.5 -11656.8
2325000 449.919 -11468.2 -11470.9
2330000 452.671 -11215.2 -11233.6
2335000 455.639 -11027.2 -11037.7
2340000 458.747 -10865.9 -10868.7
2345000 461.426 -10637.7 -10684.3
2350000 463.489 -10487.9 -10442.2
2355000 467.177 -10251.3 -10268
2360000 469.262 -10090.9 -10115
2365000 471.558 -9908.56 -9912.39
2370000 474.427 -9726.67 -9732.45
2375000 477.77 -9446.13 -9421.09
2380000 479.896 -9360.93 -9328.44
2385000 483.341 -9198.23 -9186.81
2390000 485.871 -8968.86 -8971.49
2395000 488.635 -8803.92 -8786.33
2400000 492.048 -8506.44 -8534.29
2405000 494.411 -8266.15 -8257.43
2410000 497.843 -7961.71 -7970.6
2415000 500.295 -7759.57 -7749.27
2420000 502.267 -7652.29 -7657.38
2425000 505.822 -7443.05 -7429.17
2430000 508.334 -7229.89 -7255.55
2435000 511.896 -6963.05 -6965.91
2440000 513.081 -6935.69 -6911.35
2445000 515.562 -6653.19 -6738.05
2450000 519.004 -6493.23 -6448.39
2455000 521.771 -6259.82 -6273.13
2460000 524.383 -5942.37 -5964.41
2465000 527.018 -5734.49 -5730.66
2470000 529.652 -5402.36 -5443.14
2475000 533.006 -5116.7 -5102.87
2480000 535.553 -4886.22 -4933.37
2485000 538.333 -4766.4 -4773.68
2490000 541.155 -4551.83 -4562.59
