# Chunk-averaged data for fix 4 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
4050000 20 8980
  1 8.72689 451.264 -0.00134658
  2 10.5875 447.84 -0.00103614
  3 12.4481 443.092 -0.000806148
  4 14.3088 447.33 -0.000527121
  5 16.1694 440.05 -0.000242389
  6 18.03 445.016 9.17649e-06
  7 19.8907 445.97 0.000282544
  8 21.7513 451.502 0.000501201
  9 23.6119 454.944 0.000685973
  10 25.4725 455.88 0.000831437
  11 27.3332 460.262 0.00110502
  12 29.1938 452.562 0.000823858
  13 31.0544 454.166 0.000617825
  14 32.915 450.6 0.000413263
  15 34.7757 458.842 0.00020987
  16 36.6363 440.49 6.08534e-07
  17 38.4969 447.286 -0.000252502
  18 40.3576 443.33 -0.000517374
  19 42.2182 444.992 -0.000797134
  20 44.0788 444.582 -0.00103231
4100000 20 8980
  1 8.72689 447.86 -0.00133044
  2 10.5875 447.268 -0.00105472
  3 12.4481 444.13 -0.000792434
  4 14.3088 445.5 -0.00054729
  5 16.1694 447.654 -0.000329993
  6 18.03 448.96 -5.49382e-05
  7 19.8907 442.576 0.000223104
  8 21.7513 447.526 0.000481482
  9 23.6119 451.608 0.000688088
  10 25.4725 453.632 0.000875553
  11 27.3332 461.628 0.00111287
  12 29.1938 452.376 0.000826262
  13 31.0544 459.156 0.000614413
  14 32.915 454.346 0.000415553
  15 34.7757 449.83 0.000217046
  16 36.6363 446.776 3.31943e-05
  17 38.4969 446.604 -0.000227488
  18 40.3576 439.81 -0.000478369
  19 42.2182 450.716 -0.00074586
  20 44.0788 442.044 -0.00101247
4150000 20 8980
  1 8.72689 444.334 -0.00131064
  2 10.5875 448.068 -0.00104406
  3 12.4481 448.416 -0.000828942
  4 14.3088 447.006 -0.000586425
  5 16.1694 444.878 -0.000311599
  6 18.03 444.652 -7.98673e-05
  7 19.8907 448.06 0.000220772
  8 21.7513 445.078 0.000445784
  9 23.6119 451.738 0.000654756
  10 25.4725 447.5 0.00086624
  11 27.3332 459.252 0.00111604
  12 29.1938 448.646 0.000851925
  13 31.0544 458.82 0.00064675
  14 32.915 456.406 0.000464275
  15 34.7757 453.26 0.000283195
  16 36.6363 451.866 4.31006e-05
  17 38.4969 449.914 -0.000199257
  18 40.3576 439.302 -0.000463906
  19 42.2182 443.928 -0.000742283
  20 44.0788 448.876 -0.000997027
4200000 20 8980
  1 8.72689 444.74 -0.00138587
  2 10.5875 445.706 -0.0010567
  3 12.4481 444.498 -0.000799042
  4 14.3088 443.432 -0.000522568
  5 16.1694 450.106 -0.00026918
  6 18.03 444.394 -2.31776e-05
  7 19.8907 448.056 0.000229992
  8 21.7513 444.018 0.000447188
  9 23.6119 450.534 0.00065504
  10 25.4725 455.858 0.000870464
  11 27.3332 456.444 0.00112648
  12 29.1938 454.376 0.00084132
  13 31.0544 453.124 0.000640748
  14 32.915 461.956 0.000455416
  15 34.7757 448.164 0.000256153
  16 36.6363 449.616 3.12357e-05
  17 38.4969 447.052 -0.000224704
  18 40.3576 446.776 -0.000475777
  19 42.2182 444.494 -0.00075553
  20 44.0788 446.656 -0.00101619
4250000 20 8980
  1 8.72689 448.516 -0.00134291
  2 10.5875 448.218 -0.00102761
  3 12.4481 441.12 -0.000772469
  4 14.3088 445.302 -0.00054667
  5 16.1694 446.946 -0.000281717
  6 18.03 447.6 -2.10761e-05
  7 19.8907 442.14 0.000238863
  8 21.7513 447.44 0.000464522
  9 23.6119 452.444 0.000668049
  10 25.4725 457.272 0.000869519
  11 27.3332 458.566 0.00112261
  12 29.1938 451.438 0.000832787
  13 31.0544 454.198 0.000641711
  14 32.915 453.544 0.000447235
  15 34.7757 452.758 0.000233534
  16 36.6363 448.792 1.66077e-05
  17 38.4969 450.194 -0.000220321
  18 40.3576 441.18 -0.000514697
  19 42.2182 445.442 -0.00074506
  20 44.0788 446.89 -0.00103693
4300000 20 8980
  1 8.72689 455.052 -0.00133446
  2 10.5875 444.68 -0.00103511
  3 12.4481 442.506 -0.0008045
  4 14.3088 446.072 -0.000538659
  5 16.1694 443.936 -0.000298472
  6 18.03 443.036 -3.53017e-05
  7 19.8907 447.038 0.000231379
  8 21.7513 450.018 0.000485448
  9 23.6119 457.58 0.000654249
  10 25.4725 453.054 0.000870052
  11 27.3332 461.89 0.00111527
  12 29.1938 452.278 0.000843446
  13 31.0544 454.972 0.000647492
  14 32.915 448.702 0.000444312
  15 34.7757 447.066 0.000227247
  16 36.6363 450.032 -9.411e-08
  17 38.4969 448.692 -0.000232091
  18 40.3576 446.48 -0.000486733
  19 42.2182 445.498 -0.000743381
  20 44.0788 441.418 -0.00100648
4350000 20 8980
  1 8.72689 451.772 -0.00131282
  2 10.5875 440.942 -0.00101297
  3 12.4481 451.602 -0.000775744
  4 14.3088 443.59 -0.00051474
  5 16.1694 447.19 -0.000282417
  6 18.03 440.648 -2.34641e-05
  7 19.8907 450.2 0.000219678
  8 21.7513 448.84 0.00042267
  9 23.6119 448.47 0.000632584
  10 25.4725 460.238 0.000789667
  11 27.3332 452.186 0.00109466
  12 29.1938 457.864 0.000810457
  13 31.0544 452.024 0.000633107
  14 32.915 454.39 0.000433428
  15 34.7757 453.7 0.000261993
  16 36.6363 446.922 2.71784e-05
  17 38.4969 447.182 -0.000218471
  18 40.3576 438.142 -0.000474974
  19 42.2182 447.908 -0.000763856
  20 44.0788 446.19 -0.0010025
4400000 20 8980
  1 8.72689 451.068 -0.00133321
  2 10.5875 447 -0.00104214
  3 12.4481 446.222 -0.000812704
  4 14.3088 444.46 -0.000555589
  5 16.1694 446.96 -0.00030805
  6 18.03 441.334 -4.01962e-05
  7 19.8907 447.63 0.000210066
  8 21.7513 444.256 0.000433132
  9 23.6119 450.59 0.000649027
  10 25.4725 450.518 0.000848338
  11 27.3332 460.732 0.00106508
  12 29.1938 461.008 0.000826339
  13 31.0544 455.884 0.000654147
  14 32.915 459.384 0.000449487
  15 34.7757 455.736 0.000272368
  16 36.6363 440.468 5.68039e-05
  17 38.4969 447.1 -0.000205365
  18 40.3576 441.05 -0.000468118
  19 42.2182 446.622 -0.000733692
  20 44.0788 441.978 -0.00100206
4450000 20 8980
  1 8.72689 447.642 -0.00128445
  2 10.5875 449.928 -0.000981864
  3 12.4481 444.004 -0.000741465
  4 14.3088 441.698 -0.00051399
  5 16.1694 440.582 -0.000259388
  6 18.03 450.074 -1.0971e-05
  7 19.8907 445.682 0.000209003
  8 21.7513 449.964 0.00042813
  9 23.6119 454.402 0.000616984
  10 25.4725 459.382 0.000789541
  11 27.3332 457.178 0.00101565
  12 29.1938 458.028 0.000776728
  13 31.0544 455.33 0.000602162
  14 32.915 454.312 0.000427805
  15 34.7757 450.922 0.000249769
  16 36.6363 442.964 2.86206e-05
  17 38.4969 445.746 -0.000215815
  18 40.3576 440.86 -0.000478907
  19 42.2182 445.268 -0.00073211
  20 44.0788 446.034 -0.000992828
4500000 20 8980
  1 8.72689 451.01 -0.00131962
  2 10.5875 444.82 -0.00101787
  3 12.4481 445.612 -0.000769972
  4 14.3088 449.006 -0.000519463
  5 16.1694 444.14 -0.000278143
  6 18.03 445.782 -3.95687e-05
  7 19.8907 444.696 0.00020345
  8 21.7513 446.268 0.000451198
  9 23.6119 451.738 0.00066174
  10 25.4725 457.958 0.000842495
  11 27.3332 452.516 0.00107153
  12 29.1938 459.684 0.000785292
  13 31.0544 453.17 0.000625332
  14 32.915 458.806 0.000444504
  15 34.7757 449.236 0.000257271
  16 36.6363 447.428 2.99844e-05
  17 38.4969 444.818 -0.000227848
  18 40.3576 441.516 -0.000501244
  19 42.2182 449.088 -0.00076736
