# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_1[1] c_1[2] c_1[3] c_1[4] c_1[5] c_1[6] c_1[7] c_1[8] c_1[9] c_1[10] c_1[11]
5000000 250
1 0.03 0 0 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0 0 0 0 0
35 2.07 0 0 0 0 0 0 0 0 0 0
36 2.13 0 0 1.70666e-06 1.12108e-07 0 0 0 0 0 0
37 2.19 0 0 1.52965e-05 1.17713e-06 0 0 0 0 0 0
38 2.25 0 0 0.000206645 1.63677e-05 3.05906e-06 2.24719e-07 0 0 0 0
39 2.31 8.65006e-06 6.72646e-07 0.00168532 0.000146973 3.48357e-05 2.92135e-06 0 0 0 0
40 2.37 6.45053e-05 5.9417e-06 0.00958784 0.000929036 0.000326607 2.95506e-05 0 0 0 0
41 2.43 0.000516872 5.03363e-05 0.041118 0.00445493 0.00195737 0.000197303 0 0 0 0
42 2.49 0.00230575 0.000258296 0.139169 0.0169853 0.00908762 0.00101506 0 0 0 0
43 2.55 0.00938914 0.00114641 0.384866 0.053327 0.0301364 0.00385921 0 0 0 0
44 2.61 0.0302998 0.00414888 0.889658 0.141334 0.0802278 0.0117913 0 0 0 0
45 2.67 0.0827933 0.0127344 1.72786 0.320205 0.171374 0.0295229 0 0 3.34599e-05 3.44828e-06
46 2.73 0.191351 0.033479 2.77668 0.620716 0.312202 0.0632935 0 0 0.000286843 3.44828e-05
47 2.79 0.384726 0.0770409 3.66821 1.03535 0.496114 0.119342 3.03537e-05 3.44828e-06 0.00167783 0.000224138
48 2.85 0.677414 0.157077 4.06267 1.51455 0.706917 0.202678 0 3.44828e-06 0.0107275 0.00148966
49 2.91 1.05999 0.287643 3.95936 2.00142 0.919714 0.315713 8.39433e-05 1.37931e-05 0.0429338 0.00676897
50 2.97 1.48923 0.478724 3.57482 2.45932 1.11566 0.458541 0.000268794 4.82759e-05 0.133631 0.0238862
51 3.03 1.90458 0.733069 3.11502 2.87461 1.27785 0.628809 0.00224521 0.000348276 0.33068 0.0679724
52 3.09 2.2438 1.0447 2.67398 3.24536 1.40106 0.822959 0.00714597 0.00134138 0.662548 0.159838
53 3.15 2.46425 1.40036 2.26165 3.57123 1.48194 1.03637 0.0246462 0.0049 1.09795 0.318041
54 3.21 2.54966 1.78251 1.88396 3.85312 1.5283 1.26492 0.0534648 0.0129172 1.55925 0.551348
55 3.27 2.52468 2.17518 1.55736 4.09494 1.53737 1.5035 0.108357 0.0297793 1.85272 0.839031
56 3.33 2.40913 2.56377 1.29519 4.3035 1.52273 1.74856 0.186791 0.0599241 1.92279 1.14865
57 3.39 2.23716 2.93773 1.09855 4.48682 1.4814 1.99563 0.298386 0.109831 1.76994 1.44402
58 3.45 2.04351 3.29152 0.957422 4.6523 1.42877 2.24244 0.44456 0.186841 1.49555 1.7025
59 3.51 1.84223 3.62165 0.860655 4.80627 1.36396 2.48632 0.598431 0.294141 1.23908 1.92418
60 3.57 1.64551 3.9267 0.793644 4.95315 1.29138 2.72518 0.7425 0.431866 1.01279 2.11161
61 3.63 1.45638 4.20584 0.74564 5.09583 1.22021 2.95852 0.830059 0.591052 0.853057 2.27483
62 3.69 1.28654 4.46064 0.712796 5.23676 1.14658 3.1851 0.849225 0.759345 0.749317 2.42299
63 3.75 1.13091 4.69196 0.685621 5.37677 1.07838 3.40518 0.823472 0.927879 0.686173 2.5631
64 3.81 0.992697 4.90156 0.665438 5.51703 1.01676 3.61938 0.753508 1.08707 0.648072 2.69971
65 3.87 0.874742 5.09212 0.648008 5.65796 0.961047 3.82827 0.689182 1.23729 0.621997 2.83498
66 3.93 0.772299 5.26562 0.6329 5.79991 0.914638 4.03329 0.628849 1.37864 0.609238 2.97162
67 3.99 0.688315 5.42501 0.620812 5.94342 0.878842 4.23634 0.590091 1.51537 0.593984 3.10894
68 4.05 0.618821 5.57265 0.610953 6.08894 0.84837 4.43829 0.555029 1.64786 0.578681 3.24677
69 4.11 0.560162 5.71029 0.603387 6.23695 0.832343 4.64234 0.536831 1.77983 0.57377 3.38751
70 4.17 0.514733 5.84048 0.600061 6.38846 0.823526 4.85017 0.515527 1.9103 0.565816 3.53038
71 4.23 0.480233 5.96546 0.599673 6.54427 0.826638 5.06483 0.488278 2.03745 0.571719 3.67893
72 4.29 0.453306 6.08681 0.602209 6.70521 0.840738 5.28939 0.455518 2.15946 0.584717 3.83519
73 4.35 0.435055 6.20655 0.609185 6.8726 0.866592 5.52737 0.427505 2.27719 0.610928 4.00306
74 4.41 0.423451 6.32634 0.621095 7.048 0.905926 5.78306 0.398773 2.39006 0.638264 4.18331
75 4.47 0.419563 6.44828 0.636809 7.23276 0.959354 6.06126 0.376504 2.49954 0.663865 4.37593
76 4.53 0.422102 6.57427 0.658645 7.42903 1.02747 6.36725 0.357951 2.60644 0.664364 4.57389
77 4.59 0.430466 6.70619 0.685126 7.63863 1.11249 6.70741 0.339217 2.71046 0.644427 4.77103
78 4.65 0.445834 6.8464 0.71636 7.86355 1.20757 7.08635 0.324148 2.81246 0.603728 4.96059
79 4.71 0.469314 6.99784 0.753448 8.10627 1.30932 7.50789 0.310476 2.9127 0.559783 5.14091
