# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_2[1] c_2[2] c_2[3] c_2[4] c_2[5] c_2[6] c_2[7] c_2[8] c_2[9] c_2[10] c_2[11]
8000000 250
1 0.03 0 0 0 0 0 0 0 0 0 0
2 0.09 0 0 0 0 0 0 0 0 0 0
3 0.15 0 0 0 0 0 0 0 0 0 0
4 0.21 0 0 0 0 0 0 0 0 0 0
5 0.27 0 0 0 0 0 0 0 0 0 0
6 0.33 0 0 0 0 0 0 0 0 0 0
7 0.39 0 0 0 0 0 0 0 0 0 0
8 0.45 0 0 0 0 0 0 0 0 0 0
9 0.51 0 0 0 0 0 0 0 0 0 0
10 0.57 0 0 0 0 0 0 0 0 0 0
11 0.63 0 0 0 0 0 0 0 0 0 0
12 0.69 0 0 0 0 0 0 0 0 0 0
13 0.75 0 0 0 0 0 0 0 0 0 0
14 0.81 0 0 0 0 0 0 0 0 0 0
15 0.87 0 0 0 0 0 0 0 0 0 0
16 0.93 0 0 0 0 0 0 0 0 0 0
17 0.99 0 0 0 0 0 0 0 0 0 0
18 1.05 0 0 0 0 0 0 0 0 0 0
19 1.11 0 0 0 0 0 0 0 0 0 0
20 1.17 0 0 0 0 0 0 0 0 0 0
21 1.23 0 0 0 0 0 0 0 0 0 0
22 1.29 0 0 0 0 0 0 0 0 0 0
23 1.35 0 0 0 0 0 0 0 0 0 0
24 1.41 0 0 0 0 0 0 0 0 0 0
25 1.47 0 0 0 0 0 0 0 0 0 0
26 1.53 0 0 0 0 0 0 0 0 0 0
27 1.59 0 0 0 0 0 0 0 0 0 0
28 1.65 0 0 0 0 0 0 0 0 0 0
29 1.71 0 0 0 0 0 0 0 0 0 0
30 1.77 0 0 0 0 0 0 0 0 0 0
31 1.83 0 0 0 0 0 0 0 0 0 0
32 1.89 0 0 0 0 0 0 0 0 0 0
33 1.95 0 0 0 0 0 0 0 0 0 0
34 2.01 0 0 0 0 0 0 0 0 0 0
35 2.07 0 0 1.0629e-05 6.16592e-07 0 0 0 0 0 0
36 2.13 1.81342e-06 1.12108e-07 0.000108399 7.287e-06 0 0 0 0 0 0
37 2.19 6.88676e-06 5.60538e-07 0.000698942 5.27466e-05 1.55467e-05 1.01124e-06 0 0 0 0
38 2.25 6.84258e-05 5.26906e-06 0.00372352 0.000308352 0.000108036 8.42697e-06 0 0 0 0
39 2.31 0.000344844 3.02691e-05 0.0155413 0.00143285 0.000588932 5.10112e-05 0 0 0 0
40 2.37 0.00147248 0.000142601 0.0505765 0.00528475 0.00292261 0.000273483 0 0 0 0
41 2.43 0.00515934 0.00055639 0.140149 0.0165057 0.0101216 0.00108337 0 0 0 0
42 2.49 0.0155709 0.0018676 0.334145 0.0445962 0.028574 0.00348438 0 0 0 0
43 2.55 0.0392314 0.00533229 0.697073 0.106054 0.0657168 0.00927551 0 0 0 0
44 2.61 0.0871585 0.0133963 1.27968 0.224249 0.129151 0.0211984 0 0 0.000112076 1.03448e-05
45 2.67 0.172747 0.0301217 2.05212 0.422602 0.222645 0.0427082 0 0 0.000855999 9.31034e-05
46 2.73 0.311297 0.0616321 2.84338 0.709927 0.342983 0.077349 0 0 0.00436692 0.000534483
47 2.79 0.507201 0.115253 3.42583 1.07149 0.481423 0.128132 0 0 0.0145051 0.00206552
48 2.85 0.759128 0.198996 3.6713 1.47581 0.62797 0.197254 6.24778e-05 6.89655e-06 0.0456208 0.00708966
49 2.91 1.05108 0.319879 3.61401 1.89075 0.772047 0.285851 0.000598853 7.58621e-05 0.113645 0.0201379
50 2.97 1.35197 0.481846 3.35344 2.29181 0.904166 0.393931 0.00143778 0.000248276 0.241633 0.0490379
51 3.03 1.63462 0.685666 2.99989 2.66524 1.01891 0.520697 0.00535805 0.000917241 0.446481 0.104617
52 3.09 1.87115 0.92831 2.60974 3.00309 1.11222 0.664605 0.0134724 0.00266552 0.729222 0.199017
53 3.15 2.03529 1.20259 2.22702 3.30269 1.18453 0.823878 0.0316341 0.00693103 1.05285 0.340659
54 3.21 2.12725 1.50028 1.87405 3.56451 1.23461 0.996269 0.0638576 0.0158724 1.38271 0.533831
55 3.27 2.14352 1.81157 1.57008 3.79214 1.26753 1.17993 0.116067 0.0327379 1.59126 0.764531
56 3.33 2.10243 2.1282 1.32747 3.99172 1.28673 1.37328 0.189032 0.0612207 1.63513 1.01036
57 3.39 2.01723 2.44304 1.13973 4.16931 1.29031 1.57422 0.274776 0.104134 1.5453 1.25114
58 3.45 1.90291 2.75065 1.00043 4.33076 1.28097 1.78083 0.385831 0.166541 1.38721 1.47501
59 3.51 1.77282 3.04728 0.89907 4.48094 1.2614 1.99142 0.499361 0.250141 1.21112 1.67731
60 3.57 1.63439 3.33018 0.82478 4.62347 1.23468 2.20465 0.606893 0.355245 1.06683 1.86166
61 3.63 1.49739 3.59815 0.771702 4.76134 1.1994 2.41881 0.690926 0.478959 0.937996 2.02924
62 3.69 1.36479 3.85052 0.732341 4.89653 1.16114 2.63305 0.749722 0.617679 0.842778 2.18482
63 3.75 1.23861 4.08708 0.702704 5.03052 1.12087 2.84664 0.779149 0.766572 0.763765 2.33045
64 3.81 1.12437 4.30874 0.682093 5.16476 1.08145 3.05936 0.792004 0.922797 0.703895 2.46899
65 3.87 1.02116 4.51645 0.66462 5.29972 1.04531 3.2715 0.775778 1.08068 0.663764 2.60378
66 3.93 0.928858 4.71129 0.652536 5.43636 1.01238 3.48338 0.751051 1.23831 0.629906 2.73569
67 3.99 0.848995 4.89485 0.642553 5.57506 0.984921 3.69585 0.702433 1.39027 0.615316 2.86851
68 4.05 0.778563 5.06828 0.636213 5.71655 0.964931 3.91032 0.651406 1.53546 0.603722 3.00277
69 4.11 0.719667 5.23338 0.632534 5.86141 0.951103 4.12803 0.603219 1.67391 0.599028 3.13997
70 4.17 0.670247 5.39167 0.630992 6.01018 0.94527 4.35076 0.560504 1.80636 0.601953 3.28189
71 4.23 0.631122 5.54503 0.631823 6.16346 0.947606 4.58051 0.515108 1.9316 0.608489 3.42951
72 4.29 0.600862 5.69522 0.636187 6.3222 0.958182 4.81947 0.472262 2.0497 0.622483 3.58484
73 4.35 0.576309 5.84332 0.642886 6.48714 0.978913 5.07047 0.431073 2.16054 0.635863 3.74798
74 4.41 0.561106 5.99152 0.652203 6.65911 1.00851 5.33624 0.398862 2.26594 0.640778 3.91693
75 4.47 0.551603 6.14121 0.665098 6.83929 1.05228 5.62115 0.373227 2.36728 0.644117 4.09143
76 4.53 0.548137 6.29397 0.681272 7.02884 1.10525 5.92849 0.348514 2.46446 0.633648 4.26772
77 4.59 0.551079 6.45165 0.70043 7.22891 1.16944 6.26234 0.329121 2.55869 0.61705 4.44398
78 4.65 0.560947 6.61637 0.724085 7.44119 1.24252 6.6264 0.311384 2.65018 0.594215 4.61818
79 4.71 0.576497 6.79006 0.749752 7.6667 1.31501 7.0217 0.301949 2.7412 0.570627 4.7898
