# Chunk-averaged data for fix chunk and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_TEMP
3000000 100 8200
  1 0.005 82.3785 346.8
  2 0.015 111.732 347.189
  3 0.025 112.326 347.083
  4 0.035 113.153 347.223
  5 0.045 112.693 348.174
  6 0.055 113.082 347.917
  7 0.065 112.625 349.059
  8 0.075 113.092 349.578
  9 0.085 112.551 350.016
  10 0.095 113.157 349.735
  11 0.105 112.388 349.649
  12 0.115 113.252 349.479
  13 0.125 112.332 349.38
  14 0.135 113.191 349.496
  15 0.145 112.496 348.951
  16 0.155 112.944 348.619
  17 0.165 112.794 347.618
  18 0.175 113.217 347.524
  19 0.185 113.037 347.927
  20 0.195 113.195 347.075
  21 0.205 112.418 347.58
  22 0.215 81.7246 346.305
  23 0.225 35.7643 319.859
  24 0.235 64.9922 318.116
  25 0.245 63.846 318.514
  26 0.255 63.3824 319.395
  27 0.265 63.6457 318.465
  28 0.275 64.2659 318.79
  29 0.285 64.5004 319.145
  30 0.295 64.5126 318.686
  31 0.305 64.2109 318.322
  32 0.315 63.8336 318.258
  33 0.325 63.7365 318.92
  34 0.335 64.0651 317.579
  35 0.345 64.522 318.207
  36 0.355 35.279 318.544
  37 0.365 42.2965 313.834
  38 0.375 63.8701 313.328
  39 0.385 64.0379 312.729
  40 0.395 63.9483 313.032
  41 0.405 63.7688 313.562
  42 0.415 63.7773 313.413
  43 0.425 64.216 313.512
  44 0.435 64.3535 313.943
  45 0.445 64.3606 312.808
  46 0.455 63.9567 312.495
  47 0.465 63.5096 312.329
  48 0.475 63.4086 313.523
  49 0.485 63.6626 312.894
  50 0.495 30.407 311.375
  51 0.505 71.2634 274.587
  52 0.515 111.527 273.131
  53 0.525 112.576 272.862
  54 0.535 113.59 272.559
  55 0.545 113.015 271.735
  56 0.555 113.403 271.988
  57 0.565 113.084 271.843
  58 0.575 113.681 271.023
  59 0.585 112.657 270.038
  60 0.595 113.441 270.11
  61 0.605 112.794 270.001
  62 0.615 113.44 270.499
  63 0.625 112.65 271.002
  64 0.635 113.502 271.291
  65 0.645 112.486 272.072
  66 0.655 113.045 272.502
  67 0.665 112.663 272.59
  68 0.675 113.518 273.252
  69 0.685 112.513 273.251
  70 0.695 114.038 272.972
  71 0.705 114.377 273.03
  72 0.715 86.664 275.425
  73 0.725 34.9197 303.586
  74 0.735 65.1331 304.256
  75 0.745 64.089 305.107
  76 0.755 63.8381 304.513
  77 0.765 64.0651 304.679
  78 0.775 64.69 304.305
  79 0.785 65.2304 304.194
  80 0.795 65.3103 303.599
  81 0.805 64.8924 303.892
  82 0.815 64.3199 303.956
  83 0.825 63.9962 304.15
  84 0.835 64.1528 304.826
  85 0.845 64.5933 304.325
  86 0.855 31.423 306.322
  87 0.865 45.4572 310.92
  88 0.875 63.985 312.828
  89 0.885 64.1593 312.381
  90 0.895 64.2701 313.702
  91 0.905 64.0735 312.999
  92 0.915 63.8202 312.904
  93 0.925 63.9123 312.97
  94 0.935 64.2302 313.896
  95 0.945 64.6884 312.73
  96 0.955 64.6447 312.34
  97 0.965 64.1517 312.677
  98 0.975 63.7938 313.589
  99 0.985 63.9969 312.349
  100 0.995 24.3325 312.434
4000000 100 8200
  1 0.005 20.1303 329.101
  2 0.015 103.119 346.605
  3 0.025 112.177 347.189
  4 0.035 112.287 348.197
  5 0.045 113.211 348.803
  6 0.055 112.531 348.903
  7 0.065 113.352 349.434
  8 0.075 112.387 349.687
  9 0.085 113.309 349.28
  10 0.095 112.653 349.056
  11 0.105 113.225 349.447
  12 0.115 112.834 349.539
  13 0.125 113.322 348.686
  14 0.135 112.651 348.526
  15 0.145 113.186 348.745
  16 0.155 113.446 347.217
  17 0.165 112.831 347.052
  18 0.175 113.048 346.931
  19 0.185 113.251 346.412
  20 0.195 113.205 345.98
  21 0.205 113.565 344.607
  22 0.215 114.564 344.181
  23 0.225 48.8312 340.397
  24 0.235 50.2213 320.595
  25 0.245 64.79 320.582
  26 0.255 64.7903 320.887
  27 0.265 64.4971 320.999
  28 0.275 63.921 320.766
  29 0.285 63.615 320.904
  30 0.295 63.8666 319.621
  31 0.305 64.3226 319.481
  32 0.315 64.6818 319.014
  33 0.325 64.5275 319.338
  34 0.335 64.0237 319.67
  35 0.345 63.5827 318.915
  36 0.355 61.7737 319.016
  37 0.365 24.5677 318.015
  38 0.375 55.5211 313.305
  39 0.385 63.7108 312.587
  40 0.395 63.9015 311.569
  41 0.405 64.1385 310.675
  42 0.415 63.9109 310.831
  43 0.425 63.7296 310.87
  44 0.435 63.8051 311.448
  45 0.445 64.0428 311.762
  46 0.455 64.1239 311.367
  47 0.465 64.1794 310.805
  48 0.475 63.9981 310.828
  49 0.485 63.904 311.494
  50 0.495 60.3833 311.804
  51 0.505 21.7357 297.643
  52 0.515 96.2526 273.128
  53 0.525 112.039 272.435
  54 0.535 112.47 271.565
  55 0.545 113.504 271.958
  56 0.555 112.894 271.825
  57 0.565 113.493 270.714
  58 0.575 112.747 270.8
  59 0.585 113.333 270.466
  60 0.595 112.859 270.967
  61 0.605 113.236 270.01
  62 0.615 112.946 270.215
  63 0.625 113.706 270.679
  64 0.635 112.923 270.935
  65 0.645 113.114 270.292
  66 0.655 112.672 271.043
  67 0.665 113.218 272.064
  68 0.675 113.025 271.636
  69 0.685 114.54 271.498
  70 0.695 113.625 272.025
  71 0.705 114.235 272.715
  72 0.715 116.997 273.088
  73 0.725 51.3151 274.483
  74 0.735 50.4332 305.227
  75 0.745 65.3278 305.016
  76 0.755 65.0617 305.123
  77 0.765 64.4494 305.505
  78 0.775 63.9163 303.938
  79 0.785 63.9105 303.793
  80 0.795 64.3743 305.16
  81 0.805 64.8642 304.597
  82 0.815 64.8369 303.788
  83 0.825 64.5024 304.531
  84 0.835 64.1564 305.168
  85 0.845 64.1051 304.433
  86 0.855 61.436 305.677
  87 0.865 23.0612 307.211
  88 0.875 56.3913 312.222
  89 0.885 64.0985 311.728
  90 0.895 64.312 311.818
  91 0.905 64.3849 311.807
  92 0.915 64.2977 311.307
  93 0.925 64.1358 312.001
  94 0.935 63.9392 312.112
  95 0.945 64.001 312.167
  96 0.955 64.3033 312.517
  97 0.965 64.5494 313.089
  98 0.975 64.5471 312.311
  99 0.985 64.3447 312.497
  100 0.995 59.7327 312.671
5000000 100 8200
  1 0.005 21.9546 344.758
  2 0.015 112.685 346.806
  3 0.025 112.521 347.509
  4 0.035 112.452 348.48
  5 0.045 113.944 348.218
  6 0.055 112.432 347.684
  7 0.065 113.622 348.247
  8 0.075 113.225 349.345
  9 0.085 112.99 349.771
  10 0.095 113.28 349.297
  11 0.105 113.634 349.976
  12 0.115 112.868 349.814
  13 0.125 113.574 349.148
  14 0.135 113.068 348.487
  15 0.145 113.17 348.689
  16 0.155 113.065 347.724
  17 0.165 113.523 347.409
  18 0.175 112.9 347.515
  19 0.185 113.525 347.412
  20 0.195 113.135 346.9
  21 0.205 112.86 346.848
  22 0.215 119.865 345.887
  23 0.225 21.3614 339.923
  24 0.235 62.1752 320.533
  25 0.245 64.9619 319.893
  26 0.255 63.9505 319.301
  27 0.265 63.6093 320.052
  28 0.275 63.9845 319.376
  29 0.285 64.6897 319.575
  30 0.295 64.9712 318.668
  31 0.305 64.3129 319.243
  32 0.315 63.5487 319.183
  33 0.325 63.4497 320.513
  34 0.335 64.1232 319.936
  35 0.345 64.7809 319.354
  36 0.355 61.6433 320.077
  37 0.365 16.8134 315.045
  38 0.375 63.0867 310.765
  39 0.385 64.3335 309.663
  40 0.395 64.4603 309.848
  41 0.405 64.0158 308.906
  42 0.415 63.3544 310.273
  43 0.425 63.5769 309.195
  44 0.435 64.0486 309.116
  45 0.445 64.2283 309.734
  46 0.455 64.0814 309.768
  47 0.465 63.9208 309.365
  48 0.475 63.9623 308.783
  49 0.485 64.3106 309.17
  50 0.495 58.4153 310.606
  51 0.505 16.5126 281.481
  52 0.515 111.177 273.449
  53 0.525 112.205 272.497
  54 0.535 112.875 273.205
  55 0.545 113.248 271.565
  56 0.555 113.367 271.498
  57 0.565 114.279 271.395
  58 0.575 113.058 271.699
  59 0.585 112.955 271.069
  60 0.595 114.432 270.602
  61 0.605 112.546 270.389
  62 0.615 113.418 270.252
  63 0.625 114.153 270.437
  64 0.635 113.796 270.538
  65 0.645 113.062 270.977
  66 0.655 113.719 271.534
  67 0.665 114.292 271.958
  68 0.675 112.031 272.737
  69 0.685 113.648 273.016
  70 0.695 112.979 272.741
  71 0.705 114.333 272.473
  72 0.715 123.537 273.44
  73 0.725 20.7486 280.963
  74 0.735 63.5449 302.98
  75 0.745 65.0397 302.385
  76 0.755 64.1569 302.149
  77 0.765 64.1621 301.795
  78 0.775 64.6003 302.196
  79 0.785 65.0649 301.795
  80 0.795 65.0777 302.279
  81 0.805 64.5813 301.927
  82 0.815 64.0292 301.999
  83 0.825 63.8412 302.932
  84 0.835 64.3008 303.03
  85 0.845 64.9041 303.271
  86 0.855 59.788 303.58
  87 0.865 17.387 309.253
  88 0.875 63.3154 310.421
  89 0.885 64.5525 311.456
  90 0.895 64.6307 310.651
  91 0.905 64.047 311.434
  92 0.915 63.6988 311.168
  93 0.925 63.7206 310.814
  94 0.935 64.0078 311.381
  95 0.945 64.1984 311.587
  96 0.955 64.4557 310.684
  97 0.965 64.2219 311.752
  98 0.975 63.6492 311.263
  99 0.985 63.8653 311.2
  100 0.995 56.326 312.636
6000000 100 8200
  1 0.005 23.9171 314.985
  2 0.015 84.7453 345.639
  3 0.025 111.39 347.548
  4 0.035 112.181 347.898
  5 0.045 113.302 347.789
  6 0.055 112.876 348.851
  7 0.065 113.084 349.008
  8 0.075 112.755 348.9
  9 0.085 113.15 349.171
  10 0.095 113.072 349.141
  11 0.105 113.154 349.909
  12 0.115 112.32 349.305
  13 0.125 113.499 349.254
  14 0.135 112.535 349.227
  15 0.145 113.133 349.201
  16 0.155 112.633 348.252
  17 0.165 112.99 347.803
  18 0.175 112.534 347.698
  19 0.185 113.438 347.726
  20 0.195 112.773 347.539
  21 0.205 113.306 347.137
  22 0.215 113.668 346.483
  23 0.225 76.0927 344.251
  24 0.235 38.1018 315.015
  25 0.245 64.2443 313.94
  26 0.255 63.6809 314.104
  27 0.265 63.9399 314.075
  28 0.275 64.3244 313.481
  29 0.285 64.4014 314.766
  30 0.295 64.2483 314.367
  31 0.305 64.0421 313.88
  32 0.315 64.0073 313.639
  33 0.325 64.0526 313.656
  34 0.335 64.2594 314.422
  35 0.345 64.4061 314.363
  36 0.355 63.918 313.342
  37 0.365 33.402 313.549
  38 0.375 44.3418 309.469
  39 0.385 63.9215 308.803
  40 0.395 63.6936 309.297
  41 0.405 63.6172 308.745
  42 0.415 63.9689 310.195
  43 0.425 64.2064 309.792
  44 0.435 64.1758 309.364
  45 0.445 64.1329 309.028
  46 0.455 63.9407 309.248
  47 0.465 63.7355 308.428
  48 0.475 63.8606 308.163
  49 0.485 63.8887 308.223
  50 0.495 63.3278 308.663
  51 0.505 28.7393 307.442
  52 0.515 74.4635 274.338
  53 0.525 111.36 272.789
  54 0.535 112.826 272.065
  55 0.545 113.559 271.689
  56 0.555 112.991 271.289
  57 0.565 113.639 270.683
  58 0.575 113.123 270.122
  59 0.585 113.633 270.45
  60 0.595 112.94 269.982
  61 0.605 113.238 270.056
  62 0.615 113.133 270.35
  63 0.625 113.538 270.597
  64 0.635 112.772 270.585
  65 0.645 113.347 270.965
  66 0.655 112.751 271.179
  67 0.665 113.643 271.729
  68 0.675 112.906 272.002
  69 0.685 114.159 272.51
  70 0.695 112.686 272.668
  71 0.705 113.665 273.023
  72 0.715 115.073 272.987
  73 0.725 79.6787 276
  74 0.735 37.769 297.998
  75 0.745 64.4442 298.455
  76 0.755 64.0783 298.506
  77 0.765 64.2946 298.431
  78 0.775 64.5495 298.633
  79 0.785 64.8174 298.897
  80 0.795 64.7729 298.43
  81 0.805 64.6086 298.721
  82 0.815 64.5525 299.134
  83 0.825 64.5141 299.143
  84 0.835 64.4726 298.52
  85 0.845 64.3284 299.691
  86 0.855 64.058 299.213
  87 0.865 30.1923 300.614
  88 0.875 47.3619 308.131
  89 0.885 64.1575 308.966
  90 0.895 63.9235 308.43
  91 0.905 63.8646 309.504
  92 0.915 63.9294 309.376
  93 0.925 64.1422 309.52
  94 0.935 64.2689 308.614
  95 0.945 64.2779 308.91
  96 0.955 64.1878 309.195
  97 0.965 64.1963 309.027
  98 0.975 64.2204 308.875
  99 0.985 64.0487 309.304
  100 0.995 63.7179 309.239
7000000 100 8200
  1 0.005 26.0845 313.837
  2 0.015 79.0245 347.738
  3 0.025 112.126 348.495
  4 0.035 112.501 348.55
  5 0.045 113.016 348.888
  6 0.055 112.884 349.225
  7 0.065 113.314 348.689
  8 0.075 112.622 348.086
  9 0.085 113.322 348.599
  10 0.095 112.961 349.023
  11 0.105 112.898 349.448
  12 0.115 112.747 349.347
  13 0.125 113.379 349.947
  14 0.135 112.749 348.866
  15 0.145 113.344 349.635
  16 0.155 112.827 349.38
  17 0.165 113.053 348.751
  18 0.175 112.595 347.895
  19 0.185 113.513 348.662
