# Chunk-averaged data for fix chunk2 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_TEMP
3000000 50 8200
  1 0.01 194.11 347.024
  2 0.03 225.478 347.154
  3 0.05 225.775 348.045
  4 0.07 225.717 349.319
  5 0.09 225.709 349.875
  6 0.11 225.64 349.564
  7 0.13 225.523 349.438
  8 0.15 225.439 348.784
  9 0.17 226.01 347.571
  10 0.19 226.231 347.501
  11 0.21 194.142 347.044
  12 0.23 100.757 318.734
  13 0.25 127.228 318.953
  14 0.27 127.912 318.628
  15 0.29 129.013 318.915
  16 0.31 128.044 318.29
  17 0.33 127.802 318.248
  18 0.35 99.801 318.326
  19 0.37 106.167 313.53
  20 0.39 127.986 312.88
  21 0.41 127.546 313.487
  22 0.43 128.57 313.728
  23 0.45 128.317 312.652
  24 0.47 126.918 312.925
  25 0.49 94.0696 312.403
  26 0.51 182.79 273.699
  27 0.53 226.166 272.71
  28 0.55 226.418 271.862
  29 0.57 226.765 271.432
  30 0.59 226.098 270.074
  31 0.61 226.234 270.251
  32 0.63 226.152 271.147
  33 0.65 225.531 272.287
  34 0.67 226.181 272.923
  35 0.69 226.551 273.11
  36 0.71 201.041 274.062
  37 0.73 100.053 304.022
  38 0.75 127.927 304.81
  39 0.77 128.755 304.492
  40 0.79 130.541 303.896
  41 0.81 129.212 303.924
  42 0.83 128.149 304.488
  43 0.85 96.0163 304.978
  44 0.87 109.442 312.036
  45 0.89 128.429 313.042
  46 0.91 127.894 312.951
  47 0.93 128.143 313.434
  48 0.95 129.333 312.535
  49 0.97 127.946 313.132
  50 0.99 88.3294 312.372
4000000 50 8200
  1 0.01 123.25 343.746
  2 0.03 224.464 347.693
  3 0.05 225.742 348.853
  4 0.07 225.74 349.56
  5 0.09 225.962 349.169
  6 0.11 226.059 349.493
  7 0.13 225.973 348.606
  8 0.15 226.632 347.98
  9 0.17 225.879 346.991
  10 0.19 226.455 346.196
  11 0.21 228.129 344.393
  12 0.23 99.0525 330.357
  13 0.25 129.58 320.734
  14 0.27 128.418 320.883
  15 0.29 127.482 320.261
  16 0.31 129.004 319.247
  17 0.33 128.551 319.503
  18 0.35 125.356 318.965
  19 0.37 80.0888 314.75
  20 0.39 127.612 312.077
  21 0.41 128.049 310.753
  22 0.43 127.535 311.159
  23 0.45 128.167 311.564
  24 0.47 128.178 310.816
  25 0.49 124.287 311.644
  26 0.51 117.988 277.644
  27 0.53 224.509 271.999
  28 0.55 226.398 271.892
  29 0.57 226.24 270.757
  30 0.59 226.192 270.716
  31 0.61 226.183 270.112
  32 0.63 226.629 270.807
  33 0.65 225.787 270.667
  34 0.67 226.243 271.85
  35 0.69 228.165 271.76
  36 0.71 231.232 272.904
  37 0.73 101.748 289.722
  38 0.75 130.389 305.069
  39 0.77 128.366 304.725
  40 0.79 128.285 304.479
  41 0.81 129.701 304.193
  42 0.83 128.659 304.849
  43 0.85 125.541 305.041
  44 0.87 79.4525 310.767
  45 0.89 128.411 311.773
  46 0.91 128.683 311.557
  47 0.93 128.075 312.057
  48 0.95 128.304 312.342
  49 0.97 129.097 312.7
  50 0.99 124.077 312.581
5000000 50 8200
  1 0.01 134.64 346.472
  2 0.03 224.973 347.994
  3 0.05 226.376 347.953
  4 0.07 226.847 348.795
  5 0.09 226.27 349.534
  6 0.11 226.502 349.895
  7 0.13 226.641 348.818
  8 0.15 226.235 348.207
  9 0.17 226.423 347.462
  10 0.19 226.66 347.156
  11 0.21 232.725 346.353
  12 0.23 83.5366 325.491
  13 0.25 128.912 319.599
  14 0.27 127.594 319.713
  15 0.29 129.661 319.121
  16 0.31 127.862 319.213
  17 0.33 127.573 320.223
  18 0.35 126.424 319.706
  19 0.37 79.9001 311.666
  20 0.39 128.794 309.755
  21 0.41 127.37 309.586
  22 0.43 127.626 309.155
  23 0.45 128.31 309.751
  24 0.47 127.883 309.074
  25 0.49 122.726 309.853
  26 0.51 127.689 274.488
  27 0.53 225.08 272.852
  28 0.55 226.615 271.531
  29 0.57 227.337 271.546
  30 0.59 227.387 270.834
  31 0.61 225.964 270.32
  32 0.63 227.949 270.488
  33 0.65 226.781 271.257
  34 0.67 226.323 272.344
  35 0.69 226.627 272.879
  36 0.71 237.87 272.975
  37 0.73 84.2935 297.56
  38 0.75 129.197 302.268
  39 0.77 128.762 301.996
  40 0.79 130.143 302.037
  41 0.81 128.611 301.963
  42 0.83 128.142 302.981
  43 0.85 124.692 303.419
  44 0.87 80.7024 310.17
  45 0.89 129.183 311.054
  46 0.91 127.746 311.301
  47 0.93 127.728 311.098
  48 0.95 128.654 311.134
  49 0.97 127.871 311.509
  50 0.99 120.191 311.873
6000000 50 8200
  1 0.01 108.662 338.891
  2 0.03 223.571 347.723
  3 0.05 226.178 348.319
  4 0.07 225.839 348.954
  5 0.09 226.222 349.156
  6 0.11 225.475 349.608
  7 0.13 226.034 349.241
  8 0.15 225.766 348.728
  9 0.17 225.524 347.75
  10 0.19 226.211 347.633
  11 0.21 226.974 346.809
  12 0.23 114.195 334.496
  13 0.25 127.925 314.022
  14 0.27 128.264 313.777
  15 0.29 128.65 314.567
  16 0.31 128.049 313.76
  17 0.33 128.312 314.039
  18 0.35 128.324 313.854
  19 0.37 77.7438 311.222
  20 0.39 127.615 309.05
  21 0.41 127.586 309.472
  22 0.43 128.382 309.578
  23 0.45 128.074 309.138
  24 0.47 127.596 308.295
  25 0.49 127.217 308.442
  26 0.51 103.203 283.557
  27 0.53 224.186 272.424
  28 0.55 226.551 271.489
  29 0.57 226.763 270.403
  30 0.59 226.573 270.216
  31 0.61 226.371 270.203
  32 0.63 226.309 270.591
  33 0.65 226.097 271.072
  34 0.67 226.549 271.865
  35 0.69 226.845 272.588
  36 0.71 228.738 273.005
  37 0.73 117.448 283.074
  38 0.75 128.523 298.48
  39 0.77 128.844 298.532
  40 0.79 129.59 298.663
  41 0.81 129.161 298.928
  42 0.83 128.987 298.832
  43 0.85 128.386 299.453
  44 0.87 77.5542 305.205
  45 0.89 128.081 308.698
  46 0.91 127.794 309.44
  47 0.93 128.411 309.067
  48 0.95 128.466 309.053
  49 0.97 128.417 308.951
  50 0.99 127.767 309.272
7000000 50 8200
  1 0.01 105.109 339.325
  2 0.03 224.627 348.523
  3 0.05 225.901 349.056
  4 0.07 225.936 348.388
  5 0.09 226.283 348.811
  6 0.11 225.645 349.397
  7 0.13 226.127 349.408
  8 0.15 226.171 349.508
  9 0.17 225.648 348.324
  10 0.19 226.386 348.491
  11 0.21 227.334 347.518
  12 0.23 114.127 338.199
  13 0.25 128.888 320.442
  14 0.27 128.359 320.66
  15 0.29 127.832 320.194
  16 0.31 128.602 320.258
  17 0.33 128.089 320.238
  18 0.35 127.633 320.336
  19 0.37 78.1649 316.607
  20 0.39 127.293 311.448
  21 0.41 127.959 311.396
  22 0.43 127.665 311.197
  23 0.45 127.952 310.412
  24 0.47 128.305 311.1
  25 0.49 126.935 311.526
  26 0.51 100.008 285.397
  27 0.53 224.425 271.924
  28 0.55 226.221 271.536
  29 0.57 226.795 271.498
  30 0.59 226.357 271.156
  31 0.61 226.402 270.515
  32 0.63 226.562 270.385
  33 0.65 226.382 271.908
  34 0.67 226.203 272.408
  35 0.69 226.824 273.306
  36 0.71 229.41 273.933
  37 0.73 119.252 285.314
  38 0.75 129.845 305.2
  39 0.77 128.95 305.272
  40 0.79 129.044 305.737
  41 0.81 129.614 305.722
  42 0.83 129.274 304.752
  43 0.85 128.206 305.08
  44 0.87 77.3734 308.716
  45 0.89 128.216 309.398
  46 0.91 128.368 310.291
  47 0.93 128.311 309.449
  48 0.95 128.417 309.652
  49 0.97 128.469 310.116
  50 0.99 128.1 310.528
8000000 50 8200
  1 0.01 79.75 318.402
  2 0.03 221.105 346.715
  3 0.05 225.955 348.026
  4 0.07 225.948 348.085
  5 0.09 226.173 349.305
  6 0.11 226.025 349.789
  7 0.13 226.603 349.861
  8 0.15 225.939 348.906
  9 0.17 226.351 348.343
  10 0.19 226.42 348.76
  11 0.21 226.26 349.308
  12 0.23 150.085 346.501
  13 0.25 120.739 319.82
  14 0.27 129.613 321.154
  15 0.29 128.085 320.505
  16 0.31 127.945 320.922
  17 0.33 129.132 320.696
  18 0.35 128.048 320.957
  19 0.37 81.8362 317.38
  20 0.39 123.752 309.695
  21 0.41 127.627 309.089
  22 0.43 127.864 309.132
  23 0.45 127.685 309.781
  24 0.47 128.008 309.669
  25 0.49 128.52 309.928
  26 0.51 78.8676 304.772
  27 0.53 217.419 273.321
  28 0.55 226.285 272.834
  29 0.57 226.733 272.458
  30 0.59 226.075 271.738
  31 0.61 226.558 271
  32 0.63 226.909 270.011
  33 0.65 226.243 270.715
  34 0.67 226.428 270.916
  35 0.69 227.959 271.476
  36 0.71 228.159 271.562
  37 0.73 152.317 273.984
  38 0.75 122.384 300.941
  39 0.77 129.908 301.755
  40 0.79 129.092 301.517
  41 0.81 128.444 301.288
  42 0.83 129.135 301.413
  43 0.85 129.15 301.044
  44 0.87 79.6967 302.261
  45 0.89 125.263 308.767
  46 0.91 128.035 308.226
  47 0.93 128.267 308.704
  48 0.95 128.038 309.15
  49 0.97 128.076 308.999
  50 0.99 129.09 309.323
