# Chunk-averaged data for fix T_line_40 and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_TEMP
500000 41 8400
  1 -2.29108 186.313 913.16
  2 4.94667 233.692 924.656
  3 12.1844 196.032 936.7
  4 19.4222 223.969 949.166
  5 26.6599 203.413 960.417
  6 33.8977 216.589 965.831
  7 41.1354 208.844 971.237
  8 48.3732 211.156 977.643
  9 55.6109 212.003 985.181
  10 62.8486 207.996 990.327
  11 70.0864 213.2 997.852
  12 77.3241 206.803 1006.69
  13 84.5619 212.005 1014.92
  14 91.7996 207.994 1018.54
  15 99.0374 208.536 1026.08
  16 106.275 211.464 1035.49
  17 113.513 202.797 1045.18
  18 120.751 217.196 1050.94
  19 127.988 194.716 1064.04
  20 135.226 225.272 1081.01
  21 142.464 184.319 1088.42
  22 149.702 235.65 1080.85
  23 156.939 177.803 1061.09
  24 164.177 242.144 1052.82
  25 171.415 174.754 1043.31
  26 178.653 245.181 1036.88
  27 185.89 173.232 1031.9
  28 193.128 246.695 1024.7
  29 200.366 172.408 1012.45
  30 207.604 247.588 1005.96
  31 214.841 172.234 1000.33
  32 222.079 247.795 992.019
  33 229.317 172.234 984.931
  34 236.555 247.84 978.48
  35 243.792 172.942 969.218
  36 251.03 247.134 959.443
  37 258.268 174.594 956.342
  38 265.506 245.453 945.558
  39 272.743 178.318 938.853
  40 279.981 241.692 926.383
  41 287.219 0 0
1000000 41 8400
  1 -2.29108 184.996 905.003
  2 4.94667 235.009 910.73
  3 12.1844 196.454 920.835
  4 19.4222 223.548 931.422
  5 26.6599 206.294 943.79
  6 33.8977 213.708 949.728
  7 41.1354 213.537 960.4
  8 48.3732 206.463 966.815
  9 55.6109 218.705 976.629
  10 62.8486 201.295 984.633
  11 70.0864 220.874 992.93
  12 77.3241 199.126 998.733
  13 84.5619 219.85 1011.55
  14 91.7996 200.152 1021.29
  15 99.0374 215.99 1032.59
  16 106.275 204.009 1042.65
  17 113.513 208.6 1054.82
  18 120.751 211.396 1068.9
  19 127.988 197.697 1081.67
  20 135.226 222.288 1097.82
  21 142.464 185.346 1105.69
  22 149.702 234.595 1095.24
  23 156.939 177.478 1078.08
  24 164.177 242.371 1073.13
  25 171.415 173.698 1063.36
  26 178.653 246.183 1049.02
  27 185.89 171.84 1034.93
  28 193.128 248.056 1026.14
  29 200.366 171.026 1018.38
  30 207.604 249.003 1007.71
  31 214.841 170.711 999.048
  32 222.079 249.414 985.729
  33 229.317 170.767 979.902
  34 236.555 249.344 974.256
  35 243.792 171.518 965.503
  36 251.03 248.58 959.351
  37 258.268 173.103 950.195
  38 265.506 246.952 941.019
  39 272.743 176.744 927.398
  40 279.981 243.282 916.629
  41 287.219 0 0
1500000 41 8400
  1 -2.29108 187.038 914.695
  2 4.94667 232.963 923.535
  3 12.1844 196.746 931.31
  4 19.4222 223.254 941.877
  5 26.6599 205.121 952.902
  6 33.8977 214.882 959.893
  7 41.1354 210.98 969.372
  8 48.3732 209.02 977.073
  9 55.6109 214.321 981.854
  10 62.8486 205.68 993.887
  11 70.0864 215.096 998.657
  12 77.3241 204.903 1003.06
  13 84.5619 214.042 1015.29
  14 91.7996 205.958 1021.58
  15 99.0374 210.73 1027.17
  16 106.275 209.269 1039.42
  17 113.513 204.686 1044.96
  18 120.751 215.314 1052.49
  19 127.988 196.16 1067.88
  20 135.226 223.826 1083.23
  21 142.464 185.122 1095.22
  22 149.702 234.843 1084.29
  23 156.939 177.565 1070.65
  24 164.177 242.381 1065.35
  25 171.415 173.686 1055.83
  26 178.653 246.224 1051.49
  27 185.89 171.75 1040.97
  28 193.128 248.159 1024.76
  29 200.366 171.08 1016.98
  30 207.604 248.88 1010.01
  31 214.841 171.016 993.251
  32 222.079 249.062 986.804
  33 229.317 171.432 976.364
  34 236.555 248.653 969.96
  35 243.792 172.557 966.855
  36 251.03 247.526 959.175
  37 258.268 174.606 948.571
  38 265.506 245.448 938.986
  39 272.743 179.003 928.993
  40 279.981 241.018 924.24
  41 287.219 0 0
2000000 41 8400
  1 -2.29108 185.864 913.886
  2 4.94667 234.141 919.024
  3 12.1844 195.897 931.894
  4 19.4222 224.103 937.759
  5 26.6599 204.982 943.951
  6 33.8977 215.02 954.937
  7 41.1354 211.666 963.501
  8 48.3732 208.335 973.572
  9 55.6109 215.229 981.672
  10 62.8486 204.772 988.494
  11 70.0864 216.368 998.027
  12 77.3241 203.633 1005.49
  13 84.5619 215.441 1012.2
  14 91.7996 204.557 1016.87
  15 99.0374 212.5 1025.36
  16 106.275 207.5 1040.74
  17 113.513 205.649 1051.06
  18 120.751 214.348 1061.04
  19 127.988 196.618 1070.69
  20 135.226 223.371 1081.15
  21 142.464 185.902 1088.54
  22 149.702 234.051 1083.61
  23 156.939 178.37 1074.67
  24 164.177 241.539 1062.83
  25 171.415 174.622 1053.93
  26 178.653 245.291 1045.68
  27 185.89 172.657 1038.85
  28 193.128 247.254 1028.39
  29 200.366 171.757 1019.44
  30 207.604 248.238 1010.17
  31 214.841 171.506 1001.99
  32 222.079 248.532 995.215
  33 229.317 171.664 984.712
  34 236.555 248.454 974.793
  35 243.792 172.313 966.694
  36 251.03 247.779 956.474
  37 258.268 174.094 950.974
  38 265.506 245.96 942.867
  39 272.743 177.9 931.792
  40 279.981 242.125 922.11
  41 287.219 0 0
2500000 41 8400
  1 -2.29108 187.877 904.291
  2 4.94667 232.127 912.368
  3 12.1844 199.714 921.445
  4 19.4222 220.286 931.624
  5 26.6599 209.843 945.378
  6 33.8977 210.158 953.189
  7 41.1354 216.451 963.837
  8 48.3732 203.55 969.25
  9 55.6109 220.071 980.998
  10 62.8486 199.928 993.626
  11 70.0864 220.58 1001.93
  12 77.3241 199.421 1011.34
  13 84.5619 218.365 1025.17
  14 91.7996 201.634 1030.49
  15 99.0374 213.01 1041.15
  16 106.275 206.99 1052.56
  17 113.513 205.323 1058.51
  18 120.751 214.674 1067.13
  19 127.988 194.962 1080.03
  20 135.226 225.015 1092.66
  21 142.464 183.562 1102.7
  22 149.702 236.375 1095.47
  23 156.939 176.186 1080.09
  24 164.177 243.679 1070.44
  25 171.415 172.726 1058.65
  26 178.653 247.12 1045.44
  27 185.89 171.324 1032.31
  28 193.128 248.598 1023.88
  29 200.366 170.853 1017.09
  30 207.604 249.133 1005.56
  31 214.841 170.715 995.056
  32 222.079 249.408 985.582
  33 229.317 170.862 973.843
  34 236.555 249.286 964.949
  35 243.792 171.828 957.813
  36 251.03 248.289 950.341
  37 258.268 173.935 941.997
  38 265.506 246.124 931.707
  39 272.743 178.643 921.289
  40 279.981 241.376 914.704
  41 287.219 0 0
3000000 41 8400
  1 -2.29108 188.777 912.378
  2 4.94667 231.232 916.601
  3 12.1844 198.92 929.783
  4 19.4222 221.082 936.627
  5 26.6599 207.567 946.584
  6 33.8977 212.434 957.756
  7 41.1354 213.894 965.931
  8 48.3732 206.105 976.018
  9 55.6109 217.144 985.917
  10 62.8486 202.858 992.379
  11 70.0864 217.28 1004.6
  12 77.3241 202.722 1008.66
  13 84.5619 215.173 1019.12
  14 91.7996 204.825 1028.63
  15 99.0374 210.684 1036.3
  16 106.275 209.316 1043.95
  17 113.513 203.855 1052.6
  18 120.751 216.138 1062.1
  19 127.988 194.71 1077.2
  20 135.226 225.262 1086.02
  21 142.464 184.36 1098.16
  22 149.702 235.574 1088.72
  23 156.939 177.139 1072.08
  24 164.177 242.771 1053.59
  25 171.415 173.828 1044.8
  26 178.653 246.095 1036.36
  27 185.89 172.271 1027.17
  28 193.128 247.701 1019.01
  29 200.366 171.452 1011.37
  30 207.604 248.51 1007.54
  31 214.841 171.302 1002.25
  32 222.079 248.755 993.238
  33 229.317 171.576 984.995
  34 236.555 248.483 976.274
  35 243.792 172.763 963.987
  36 251.03 247.336 952.006
  37 258.268 175.362 943.284
  38 265.506 244.708 934.578
  39 272.743 180.34 929.032
  40 279.981 239.695 922.756
  41 287.219 0 0
3500000 41 8400
  1 -2.29108 186.726 905.986
  2 4.94667 233.279 917.171
  3 12.1844 198.015 925.183
  4 19.4222 221.986 934.257
  5 26.6599 207.667 943.63
  6 33.8977 212.334 954.695
  7 41.1354 214.528 962.339
  8 48.3732 205.471 970.713
  9 55.6109 218.607 979.829
  10 62.8486 201.396 991.527
  11 70.0864 219.392 1000.83
  12 77.3241 200.607 1007.63
  13 84.5619 217.629 1018.73
  14 91.7996 202.37 1024.07
  15 99.0374 213.501 1035.95
  16 106.275 206.5 1049.64
  17 113.513 205.301 1059.78
  18 120.751 214.692 1069.53
  19 127.988 194.688 1078.41
  20 135.226 225.287 1091.98
  21 142.464 183.397 1100.64
  22 149.702 236.549 1088.41
  23 156.939 176.443 1071.23
  24 164.177 243.455 1065.33
  25 171.415 173.204 1052.07
  26 178.653 246.655 1045.18
  27 185.89 171.841 1030.16
  28 193.128 248.089 1020.74
  29 200.366 171.288 1012.83
  30 207.604 248.705 1004.97
  31 214.841 171.204 998.609
  32 222.079 248.894 990.62
  33 229.317 171.332 983.637
  34 236.555 248.78 975.598
  35 243.792 172.15 963.092
  36 251.03 247.963 954.928
  37 258.268 174.076 943.29
  38 265.506 245.983 937.235
  39 272.743 178.038 925.922
  40 279.981 241.979 916.76
  41 287.219 0 0
4000000 41 8400
  1 -2.29108 185.891 911.315
  2 4.94667 234.114 919.546
  3 12.1844 195.724 928.498
  4 19.4222 224.277 933.093
  5 26.6599 205.041 945.634
  6 33.8977 214.96 952.652
  7 41.1354 211.527 965.028
  8 48.3732 208.474 970.143
  9 55.6109 215.553 978.507
  10 62.8486 204.447 985.979
  11 70.0864 217.322 993.336
  12 77.3241 202.681 1001.91
  13 84.5619 216.626 1007.83
  14 91.7996 203.37 1018.93
  15 99.0374 213.548 1028.88
  16 106.275 206.452 1043.39
  17 113.513 206.166 1053.93
  18 120.751 213.831 1064.69
  19 127.988 196.244 1074.44
  20 135.226 223.736 1085.49
  21 142.464 185.119 1095.36
  22 149.702 234.832 1080.98
  23 156.939 178.152 1068.47
  24 164.177 241.77 1061.53
  25 171.415 174.344 1053.71
  26 178.653 245.556 1046.1
  27 185.89 172.545 1034.45
